Date,Task / Feature,Sub Task,Hour,Type,Project,Discussion
01-02-2019,Weekly meeting,with dokan team,1.5,Meeting,Dokan,
01-02-2019,Weekly meeting,with project manager team,0.5,Meeting,Project Manager,
01-02-2019,Weekly meeting,with WP ERP team,0.5,Meeting,WP ERP,
01-02-2019,Project manager reporting,Testing PM reporting,1,Manual Testing,Project Manager,
02-04-2019,WPUF exisitng test case,WPUF existing test case re-build following ,1,Automation Testing,WP User Frontend,
02-04-2019,PM release,Project manager release testing (replace files & migration),4,Manual Testing,Project Manager,
02-04-2019,Meeting,weMail meeting,1,Meeting,weMail,
02-05-2019,Dokan Subscription,Subscription testing & discuss with Saimon,0.5,Meeting,Dokan,
02-05-2019,Preparation for presentation,Create a presentation slide for automation testing,4.5,Automation Testing,Others,
02-05-2019,Video create,Create a video for automation testing,2.5,Automation Testing,Others,
02-05-2019,Codeception acceptance testing,How to install & setup codeception acceptance testing easily,0.5,Automation Testing,Dokan,
02-05-2019,weForms features & PM importers,"Discuss about weForms features, PM trello importers",1,Discussion & Meeting,weForms,
02-06-2019,Dokan Module,Elementor Support for store page testing,2.5,Manual Testing,Dokan,
02-06-2019,Preparation for presentation,Create a presenation slide for automation testing,0.5,Automation Testing,Dokan,
02-06-2019,Discussion with developer for elementor,Dokan Elemntor support for store (Setup purpose & discussion for understaing the feature),2,Discussion & Manual Testing,Dokan,"Facing some technical problems for my laptop, too much slow "
02-07-2019,Testing elementor,Elementor Support for store page testing,4,Manual Testing,Dokan,
02-07-2019,Milestone analysis,Listed completed and upcomming milestone,2,Milestone set,Others,
02-08-2019,Preparation for presentation,Create a presenation slide for automation testing,0.5,Automation Testing,Others,
02-08-2019,Weekly Meeting,with dokan team,2,Meeting,Dokan,
02-08-2019,Weekly Meeting,with project manager team,1,Meeting,Project Manager,
02-08-2019,Weekly Meeting,with WP ERP team,3,Meeting,WP ERP,
02-08-2019,Weekly Meeting,with WPUF team,1,Meeting,WP User Frontend,
02-11-2019,Project manager testing & issues management,PM testing and listing all issues in the lounge,3.5,Manual Testing,Project Manager,
02-11-2019,Preparation for presentation,Prepare presentation & Create a video for presenation,2,Video ,Others,
02-11-2019,Dokan release & discussion,Dokan discuss & testing for release purpose,0.5,Manual Testing,Dokan,
02-12-2019,weForms release & discussion,Discuss with developer & testing  for weForms release purpose,3.5,Meeting,weForms,Review the github & bitbucket isssues
02-12-2019,Preparation for presentation,Prepare presentation & Create a video for presenation,2,Video,Others,
02-13-2019,weForms release & discussion,Discuss with developer & testing  for weForms release purpose,2,Manual Testing,weForms,
02-13-2019,Dokan pro release,Dokan pro testing for release purpose,3,Manual Testing,Dokan,
02-13-2019,Dokan task management,Manage dokan task with kanban board ,1.5,Discussion,Dokan,
02-14-2019,Dokan subscription module testing,Dokan Subscription module testing & analysis different scenario,3.5,Manual Testing,Dokan,
02-14-2019,Release meeting,weForms release meeting with team,0.5,Meeting,weForms,
02-14-2019,Release meeting,Dokan release meeting with team,0.5,Meeting,Dokan,
02-14-2019,Release meeting,ERP release meeting with team,0.5,Meeting,WP ERP,
02-14-2019,Release meeting,PM release meeting with team,1.5,Meeting,Project Manager,
02-18-2019,PM release testing,PM Released version testing ,0.5,Manual Testing,Project Manager,
02-18-2019,ERP release meeting,WP ERP Released version testing ,0.5,Manual Testing,WP ERP,
02-18-2019,Dokan release,Dokan testing for release purpose,1.5,Manual Testing,Dokan,
02-18-2019,Task Management,Task rearrange & assign task by Kanban board,1.5,Project Manage,Project Manager,
02-18-2019,Planning on weDevs site,Planning an idea for wedevs site (changelog updated on wedevs site),0.5,Planning,Others,
02-18-2019,WePos discussion & testing,Discussion & testing with developer for testing,2.5,Manual Testing,WE POS,
02-19-2019,WP ERP extension testing,Testing Zendesk WP ERP extension & discussion with developer,2,Manual Testing,ERP,
02-19-2019,Project Management,Discussion about our project management,1,Discussion,Others,
02-19-2019,Dokan module testing,Elementor Support for store page testing (Store related all module also testing),1.5,Discussion,Dokan,
02-19-2019,wePos meeting,We POS new feature meeting,0.5,Meeting,WE POS,
02-20-2019,Dokan module testing,Elementor Support for store page testing & discussion with developer about issues,1.5,Manual Testing,Dokan,
02-20-2019,Review PM issues & discussion,Review project manager issues & discussion with developer,1.5,Manual Testing & Discussion,Project Manager,
02-20-2019,BDD style analysis,Writting Test scenario with BDD style,1.5,Writting Test Scenario,WP User Frontend,https://dannorth.net/whats-in-a-story/
02-20-2019,WP ERP extension testing,Testing Zendesk WP ERP extension & also review existing issues are solving,0.5,Manual Testing & Discussion,WP ERP,
02-22-2019,Project Mnagement,All project manage in lounge,1,Project Manage,Others,
02-22-2019,Dokan release testing,Dokan free testing for upcomming release,0.5,Manual & Automation,Dokan,
02-22-2019,PM discussion & testing,Discuss & testing Project manager free & pro for upcomming release,0.5,Manual Testing,Project Manager,
02-22-2019,Dokan discussion & testing ,Testing dokan admin dashbard & discuss with product manager also developer for better enhancement,0.5,Manual Testing & Discussion,Dokan,
02-22-2019,Weekly Meeting,Weekly Meeting with Dokan APP,1,Meeting,Dokan APP,
02-22-2019,Weekly Meeting,Weekly Meeting with WP ERP team ,1,Meeting,WP ERP,
02-22-2019,wePos testing,Testing WEPOS step by step,0.5,Manual Testing,WE POS,
02-25-2019,Dokan release version testing,Dokan Free testing for release purpose,5.5,Manual Testing,Project Manager,
02-25-2019,Mac set-up,Mac Enviroment setup,1,Setup,Others,
02-26-2019,WP ERP extension testing,WP ERP HelpScout setup & testing,1,Manual Testing,WP ERP,
02-26-2019,Dokan free & pro compatibility test,Dokan Free testing with pro for release purpose ,3,Manual Testing,Dokan,
02-26-2019,WP ERP accounting discussion,WP ERP Accounting discussion with team,1,Discussion,WP ERP,
02-26-2019,Discussion with PM support team,Discuss with PM support team about existing issues,0.5,Discussion,Project Manager,
02-26-2019,Dokan Automation set-up,Dokan free & pro automation testing set-up for mac,0.5,Automation,Dokan,
02-27-2019,Dokan Automation set-up,Dokan free & pro automation testing set-up for mac,4,Automation,Dokan,
02-27-2019,Dokan Discussion,Dokan brand new product feature discussion,0.5,Discussion,Dokan,
02-27-2019,WPUF release,WPUF free & pro testing for release,1,Manual Testing,WP User Frontend,
02-27-2019,WP ERP accounting discussion,WP ERP Accounting discussion with team & testing,0.5,Manual Testing,WP ERP,
02-27-2019,PM label testing,PM free & pro(label) testing for release purpose also discussion with developer ,3.5,Manual Testing,Project Manager,
02-28-2019,WPUF release,WPUF free & pro testing for release,5,Manual & Automation,WP User Frontend,